"Source:","/home/nold/Nextcloud/CAD/KiCAD/dock64/dock64.kicad_sch"
"Date:","Thu Oct 19 19:00:56 2023"
"Tool:","Eeschema 7.0.7"
"Generator:","/app/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","32"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","AVAILABILITY","Arrow Part Number","Arrow Price/Stock","Availability","Check_prices","DESCRIPTION","Description","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PACKAGE","PARTREV","PRICE","Package","Price","Purchase-URL","STANDARD","SnapEDA_Link"
"1","4","C1, C2, C3, C4","C_Small","Device:C_Small","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","3","H1, H2, H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.2mm_M2","~","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","1","IC1","PI5A3157CEX","PI5A3157CEX:PI5A3157CEX","KiCad:SOT65P210X110-6N","https://www.diodes.com/assets/Datasheets/PI5A3157.pdf","","","PI5A3157CEX","https://www.arrow.com/en/products/pi5a3157cex/diodes-incorporated","","","","","1.1","","","","","Diodes Inc.","PI5A3157CEX","729-PI5A3157CEX","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/PI5A3157CEX?qs=hFKXOjF5MkYOFZffF%2FEnpw%3D%3D","","","","","","","",""
"4","1","J1","SS-53000-001","SS-53000-001:SS-53000-001","symbols-footprints:STEWART_SS-53000-001","","","","","","In Stock","https://www.snapeda.com/parts/SS-53000-001/Stewart+Connector/view-part/?ref=eda","","HDMI Connector | Right Angle | Without Flange | -20C to 85C","","BelFuse","6.18 mm","Stewart Connector","SS-53000-001","","","","","","A0","","None","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=4628816&manufacturer=Stewart Connector&part_name=SS-53000-001&search_term=hdmi connector","Manufacturer Recommendations","https://www.snapeda.com/parts/SS-53000-001/Stewart+Connector/view-part/?ref=snap"
"5","1","TP1","Bo","Connector:TestPoint","symbols-footprints:CasPowerPad 1x1","~","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1","TP2","Go","Connector:TestPoint","symbols-footprints:CasPowerPad 1x1","~","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","1","TP3","Ro","Connector:TestPoint","symbols-footprints:CasPowerPad 1x1","~","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1","TP4","Ho","Connector:TestPoint","symbols-footprints:CasPowerPad 1x1","~","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1","TP5","Vo","Connector:TestPoint","symbols-footprints:CasPowerPad 1x1","~","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","1","TP6","Bi","Connector:TestPoint","symbols-footprints:CasPowerPad 1x1","~","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","1","TP7","Gi","Connector:TestPoint","symbols-footprints:CasPowerPad 1x1","~","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","1","TP8","Ri","Connector:TestPoint","symbols-footprints:CasPowerPad 1x1","~","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","1","TP9","Hi","Connector:TestPoint","symbols-footprints:CasPowerPad 1x1","~","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","1","TP10","Vi","Connector:TestPoint","symbols-footprints:CasPowerPad 1x1","~","","","","","","","","","","","","","","","","","","","","","","","","",""
